,track_id,track_name,artist_name,danceability,key,acousticness,kmeans
315,6PJ8FF6UR8FZXfEvpHkIVN,How Would You Feel (Paean),Ed Sheeran,0.617,9.0,0.424,2
318,5ULRlgiSPSKTaJN1vU9yso,Shape of You - Acoustic,Ed Sheeran,0.843,8.0,0.49,2
319,6y0BUUOjU4TtqoBwoFwcvU,Kung Wala Ka,Hale,0.494,7.0,0.702,2
323,0n2bvWvMwr0gbjcuTm92eW,Love,Lana Del Rey,0.322,10.0,0.455,2
337,4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,Ed Sheeran,0.589,6.0,0.914,2
338,2dfHh7ECGxfNqZTQno09Vk,Hearts Don't Break Around Here,Ed Sheeran,0.604,7.0,0.719,2
342,6TIU9Ehmi6dMzZK73Ym4yj,Save Myself,Ed Sheeran,0.552,10.0,0.85,2
343,6SznMYPQJHzr3IwsAHLId2,Bibia Be Ye Ye,Ed Sheeran,0.738,7.0,0.52,2
350,7j4IOedQQtMpSHEvyXZsHI,ILYSB - STRIPPED,LANY,0.564,5.0,0.538,2
353,6VeOvyaMBynIqMSY5uZpfx,Gusto Kita,Angeline Quinto,0.461,9.0,0.594,2
354,0or0gNaKAXYYCsOrpvRzAu,Liability,Lorde,0.534,10.0,0.923,2
359,3PCE25CY0e1VMclfDGTXvE,Walang Iba,Daniel Padilla,0.646,6.0,0.598,2
364,5kewTQfSwOhwYH2PrJDhEU,"Beauty and the Beast - Duet with Peabo Bryson from the Soundtrack ""Beauty and the Beast""",Céline Dion,0.426,6.0,0.462,2
365,1cPfKp9ThNZ1fez9itmUMN,Belle,Emma Watson,0.524,7.0,0.82,2
368,0sXJUHfwsocaJaLM5osoWX,Beauty and the Beast,Emma Thompson,0.211,7.0,0.797,2
397,0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,0.577,5.0,0.599,2
435,3QWjljChcOMkRDYSzF33Qr,Whippin (feat. Felix Snow),Kiiara,0.87,5.0,0.549,2
438,4ub59HeXqdYApJtkJqnvXE,I'll Never Go,Erik Santos,0.454,11.0,0.723,2
441,6mORGLOz79w6VsCRLWYYuK,The Night We Met,Lord Huron,0.443,9.0,0.969,2
456,13sXuI5RjMHm7dz7O3spYs,Sweet Creature,Harry Styles,0.427,7.0,0.746,2
462,5aFQU3VPCQ3YGfKBA4tLfj,1-800-273-8255,Logic,0.627,5.0,0.568,2
476,3FDrI0FLKzrYQiWxPhqV2W,Rollin (feat. Future & Khalid),Calvin Harris,0.754,6.0,0.45,2
486,1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,0.752,9.0,0.535,2
496,6e8l2FkkbOVUQO8YDpV5EQ,13,LANY,0.783,8.0,0.695,2
548,2iXBZ32Fz5VDCLeE0JIdX5,Better in Time,Leona Lewis,0.584,6.0,0.512,2
553,0p5Bv16XNo5B7AdeKD0H0F,I Do (Cherish You),98º,0.576,8.0,0.614,2
559,79NlESqzFSW0hdBWgls4FX,Praying,Kesha,0.565,10.0,0.48,2
562,1Rw6Wf7t7LW0rnWKMbTFM4,Turning Up,James Reid,0.714,9.0,0.56,2
564,6YdeXX7BK4XBcRXTjOdMwf,The Life,James Reid,0.676,11.0,0.734,2
580,3xXBsjrbG1xQIm1xv1cKOt,One More Light,Linkin Park,0.593,8.0,0.904,2
608,46ixegtxjERQMCutmp09Sa,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,0.37,6.0,0.774,2
615,5vqpqBAB8L9NyhLZo0ZKie,current location,LANY,0.601,7.0,0.514,2
628,3gyEt1vswIEbpQqBs18Lha,Harana,Parokya Ni Edgar,0.58,7.0,0.792,2
630,3VOtM6x5KXZuxSzHaaf9oO,Mama - Acoustic,Jonas Blue,0.564,10.0,0.759,2
642,2do8RHXBj4CxG3n08KHBWZ,"241 (From the movie ""100 Tula Para Kay Stella"")",Janine Teñoso,0.345,11.0,0.846,2
644,2vVW17crZs4KInids0h9SE,241 (My Favorite Song),Rivermaya,0.701,9.0,0.631,2
648,12SCPvDuy54Tl8H2jSELxF,Don't Say You Love Me,Fifth Harmony,0.585,9.0,0.497,2
655,1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,0.524,7.0,0.808,2
668,0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes - Edit,Sam Smith,0.653,5.0,0.658,2
672,7oAraczbemGSNWqnbkU87R,Too Good At Goodbyes,Sam Smith,0.515,5.0,0.618,2
674,4d75stQ2jRfq8lzaqhFFKs,Latch - Acoustic,Sam Smith,0.372,8.0,0.981,2
684,7iV733e1KacKrFRaBNxVEf,Intro: Serendipity,BTS,0.476,8.0,0.523,2
696,0Wv5wuenRLI3BcwgT3HPIP,A Different Way (with Lauv),DJ Snake,0.781,8.0,0.534,2
697,2Za1AlJNvksouPPWbXpR2X,Good Old Days (feat. Kesha),Macklemore,0.712,8.0,0.446,2
707,3llHPPHKJ9bBYh9pg9TBbf,Waterfall,Petit Biscuit,0.682,7.0,0.492,2
711,2uSLx5uwRIhiA3sJJraNqX,Help Me Out (with Julia Michaels),Maroon 5,0.938,11.0,0.479,2
716,7ejps6ztLxyZD74tHrTdEj,Too Good At Goodbyes - Acoustic,Sam Smith,0.434,5.0,0.853,2
723,42nrX5b8ZUYRcw2puNY8tb,Titibo-Tibo,Moira Dela Torre,0.651,10.0,0.855,2
729,4OEOEsOhlzDqQuewiuPJAc,Whiskey (feat. A$AP Rocky),Maroon 5,0.597,7.0,0.723,2
738,5vmRyPrgeSvsMyLkEhEuyD,Whiskey,Maroon 5,0.539,10.0,0.746,2
741,7FzhZ7C3NhM1UyqSHV9ytY,Burning,Sam Smith,0.493,6.0,0.874,2
748,3AFPGvRzeKeNJbIbLwcz4G,HIM,Sam Smith,0.575,5.0,0.587,2
750,6TwcRSQgztJFw8tQDrs35D,The Thrill Of It All,Sam Smith,0.496,10.0,0.81,2
752,3zesxb7sOGbeSwUrzLUP0f,Palace,Sam Smith,0.345,6.0,0.74,2
753,5qOWH742APK9OAIhQBflvV,Nothing Left For You,Sam Smith,0.499,10.0,0.616,2
759,3YQp6N0vdiLEhpqKjRcN2L,Hayaan Mo Sila (Inspired by I'm the One),Ex Battalion,0.724,5.0,0.718,2
760,2v5VIWMjZxeiG52KckiXxS,Ikaw Lamang,Silent Sanctuary,0.394,9.0,0.573,2
761,7zLGHiDWd9T1Rxw4PQCb13,Walk On Water (feat. Beyoncé),Eminem,0.577,9.0,0.8,2
764,5T6bJp3XgwT0IaCfKMxmAu,Perfect - Acoustic,Ed Sheeran,0.432,7.0,0.459,2
777,1ycpU8beNm9bXKvy7s25Jl,Gitara,Parokya Ni Edgar,0.768,7.0,0.865,2
782,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,0.587,8.0,0.779,2
784,0OlnLZY4cmQzT6ZGttvWBM,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,0.526,6.0,0.435,2
805,7Hz6LLOVxrojLPIHJJ1S0E,Have Yourself A Merry Little Christmas,Sam Smith,0.426,5.0,0.954,2
806,7rrVN7f83kwaz2sGxoFnJY,Christmas in Our Hearts,Jose Mari Chan,0.57,5.0,0.841,2
808,5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,Andy Williams,0.24,7.0,0.766,2
813,6h7bFD49c3lN9uLDxhy2RW,Sana Ngayong Pasko,Lea Salonga,0.449,5.0,0.697,2
814,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,0.491,10.0,0.776,2
815,5E5MqaS6eOsbaJibl3YeMZ,Homesick,Dua Lipa,0.426,6.0,0.948,2
816,32OWobmyAz8J2qA8iWekyS,Mistletoe,Justin Bieber,0.666,6.0,0.511,2
826,3T7dNA7O8c3Axj5WyDNcH3,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,0.703,8.0,0.706,2
835,1xbJ8LIHgUclqlTx4cyEG9,Da Best Ang Pasko Ng Pilipino,Maria Aragon,0.604,5.0,0.459,2
836,3JwOoXNE5S1j4vz9iSL37S,Mary's Boy Child,Jose Mari Chan,0.583,10.0,0.834,2
837,6tjituizSxwSmBB5vtgHZE,Holly Jolly Christmas,Michael Bublé,0.647,7.0,0.865,2
839,7segkq8uZLqiORlsjgaQMA,Kumukutikutitap,Rachelle Ann Go,0.736,5.0,0.53,2
840,5nF4ra7lETOa2Wc4LrQ01g,Grown Up Christmas List,Janice Javier,0.444,10.0,0.589,2
841,0yOLhQVpava7cJhVDbCvSh,Deck The Halls,Nat King Cole,0.638,9.0,0.66,2
842,1foCxQtxBweJtZmdxhEHVO,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,0.7,8.0,0.902,2
843,3MhbB5T6ZickGjX7Plty7x,Frosty The Snowman,Ella Fitzgerald,0.579,8.0,0.733,2
846,6LivYvzWanzTQm8Tm3aTsa,Pasko Na Sinta Ko,Gary Valenciano,0.279,7.0,0.735,2
848,0gBc4Ksp2LSHbGTa1jBKTO,Angels We Have Heard on High,Acapellago,0.174,6.0,0.896,2
852,5Ber68jZ7ytegr2UISEdb7,Santa Claus Is Coming to Town,Michael Bublé,0.594,10.0,0.785,2
855,3wBcrPHByBidLaFiroUBMc,O Holy Night,Regine Velasquez,0.313,8.0,0.89,2
857,3nmRSlzR7xtAo95GjfIahZ,Bibingka,Ben&Ben,0.356,8.0,0.797,2
858,1s5ggQsYhH2TNhm5ZAO108,Have Yourself a Merry Little Christmas,Jamie Rivera,0.379,6.0,0.721,2
859,4dTIX4OfjS2uEIRukvNuOB,A Christmas Song for You,Jose Mari Chan,0.193,6.0,0.674,2
860,7N2hNvCF606dEcaloV1j38,Jingle Bells (with The Ken Lane Singers),Frank Sinatra,0.542,8.0,0.866,2
864,356dWMVMXLJI6OEoq0ITf1,O Holy Night - 1999 Remastered,Nat King Cole,0.228,8.0,0.589,2
880,0fQoxRUPmeLK5YY7JDSzQY,Glory Days (feat. Hayley Kiyoko) - Trifect Remix,Sweater Beats,0.809,6.0,0.645,2
883,2H3ZUSE54pST4ubRd5FzFR,Ain't No Mountain High Enough,Marvin Gaye,0.669,11.0,0.482,2
894,2iLGgm4O5Hia8aSfSzXS3H,If You Leave Me Now (feat. Boyz II Men),Charlie Puth,0.435,9.0,0.902,2
896,59tadG64uM64WcCcUDGpkB,Di Ako Fuckboy (feat. Agsunta),Ex Battalion,0.641,7.0,0.809,2
908,0KeZ6mv7rL5wfF7TuxSUdk,Pahinga,Al James,0.785,11.0,0.722,2
917,7MrDfa1uQGVXx0JMZ2u5tN,Hayaan Mo Sila,Ex Battalion,0.708,5.0,0.71,2
925,4uyp73pmsVkogpZfKSLdyh,Tagpuan,Moira Dela Torre,0.492,8.0,0.864,2
930,6wdCelHrPh7UfliNjwRTUv,Leaves,Ben&Ben,0.447,6.0,0.913,2
937,0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,Loren Allred,0.277,8.0,0.423,2
945,66y7x28jXOPrcmu3D5Zjh6,A Million Dreams (Reprise),Austyn Johnson,0.253,6.0,0.726,2
946,6f8b6mxNNDJdE5tC4MCTxt,Never Enough (Reprise),Loren Allred,0.382,9.0,0.889,2
950,4QfNOZN7vrQCQKK1ZJ3XPb,Heaven,Julia Michaels,0.544,7.0,0.863,2
974,2M0rq3xC7x6dGwNdx0Thka,Marco's Theme - Saglit,Moira Dela Torre,0.44,7.0,0.949,2
976,7wrDRQgHlvDnimrRHfQZxt,Psycho (feat. Ty Dolla $ign),Post Malone,0.748,8.0,0.59,2
981,2wTxJWt2gA9a1Z94dTnPiI,Oks Lang,John Roa,0.313,9.0,0.855,2
1000,2VgJDTfkuwlm7WIHnvtRCQ,You Are The Reason,Calum Scott,0.329,10.0,0.913,2
1023,2poOAWEj1CStqTVPgIHZ8s,Try Me,The Weeknd,0.508,8.0,0.629,2
1025,72TyiiduRmczEbDIEtKQdR,Wasted Times,The Weeknd,0.562,10.0,0.622,2
1030,26Fqtv4Aa7kyd1WWGHai6A,Privilege,The Weeknd,0.391,11.0,0.913,2
1048,5YLHLxoZsodDWjqSgjhBf3,Myself,Bazzi,0.745,9.0,0.465,2
1086,3Wf2YGdYT8xVdNsQSoRKk9,Youth (feat. Khalid),Shawn Mendes,0.625,6.0,0.518,2
1098,4UBoF5hcXav3XzKJHYqb1E,Anong Nangyari Sa Ating Dalawa,Moira Dela Torre,0.307,7.0,0.944,2
1118,5cuRYDNIcSu5noyXQpULKg,Where Were You In The Morning?,Shawn Mendes,0.708,7.0,0.556,2
1122,5SwEgzUFDHwpWHKrbnP32Z,Youth feat. Khalid,Shawn Mendes,0.518,6.0,0.569,2
1124,5jLEQLkEU8Sb2fG5UQcwDM,Ako Muna,Yeng Constantino,0.547,6.0,0.576,2
1125,5LTGmestwpHZ1BfCmpFQJx,Entertainer,ZAYN,0.706,5.0,0.501,2
1126,5I8oEqbk2ZBmQfXCrZbUFb,Fallin' All In You,Shawn Mendes,0.853,8.0,0.401,2
1132,0087fDVeNhuyMtST91RMjv,Kundiman,Silent Sanctuary,0.335,11.0,0.564,2
1146,4fFfyouye6vrX9o9z4PVMu,Never Not,Lauv,0.47,5.0,0.693,2
1150,5uBWj5DHsKw3DayLOuh7by,Heartbeats,Andrea Babierra,0.62,8.0,0.715,2
1151,5hyhR9TYBcSnmpSEl455eK,We & Us,Moira Dela Torre,0.756,8.0,0.767,2
1174,7AFASza1mXqntmGtbxXprO,changes,XXXTENTACION,0.669,11.0,0.883,2
1176,0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,0.921,9.0,0.556,2
1177,3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION,0.734,7.0,0.847,2
1179,12gnUTEnxL6PYN06RX2Je1,imagine if,Garrett Nash,0.907,8.0,0.568,2
1181,0GHwNr0lqf8jpc9wesmnHo,Ex,Callalily,0.499,7.0,0.586,2
1187,36ONiya0OANYknz0GgJmwB,Don’t Matter To Me,Drake,0.825,10.0,0.497,2
1200,311a0P87ZiMjjCaoQSZEfh,Your Song - My One and Only You,Julie Anne San Jose,0.506,6.0,0.744,2
1211,75ls0gurX68lUmMjE7QcsE,all the kids are depressed,Jeremy Zucker,0.773,9.0,0.836,2
1213,4SjPJxsczdVx2Wafi5mT0J,Rewrite the Stars,Joseph Vincent,0.786,6.0,0.863,2
1215,4o4r7d1KcmnBtaPR7lugzV,Girls Like You - Acoustic,Matt Johnson,0.535,6.0,0.932,2
1222,2Uj9aeKOXPx4cgHrcd9401,Midnight Sky,Unique Salonga,0.496,5.0,0.899,2
1223,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,0.56,6.0,0.555,2
1226,0Vmk6Ebk4QBq7r0VAz2a6s,Bakit Ba Ikaw,Michael Pangilinan,0.668,10.0,0.549,2
1230,6G8kHiVZ1jW7vHMPVRNZU0,Don’t Matter To Me (with Michael Jackson),Drake,0.822,10.0,0.493,2
1236,1X4l4i472kW5ofFP8Xo0x0,Sana - Single Version,I Belong to the Zoo,0.66,7.0,0.701,2
1239,5Seh4HfqT1mFnRJQswqz51,Your Song (My One and Only You),Julie Anne San Jose,0.507,6.0,0.726,2
1246,2L5V8TQCEq5n3CLrjGbWE8,"You Are The Reason - Acoustic, 1 Mic 1 Take/Live From Abbey Road Studios",Calum Scott,0.672,10.0,0.913,2
1247,4HCpIhzKelkCloifq32KUl,So Sick - Acoustic,Ne-Yo,0.465,6.0,0.885,2
1248,3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,0.553,11.0,0.697,2
1254,27kB4qLUCV8nZd2eOgj1Tk,KILLING ME,iKON,0.76,9.0,0.465,2
1260,2Gh039ZAfydrM5IjiGlvEj,Akala,Marion Aunor,0.502,10.0,0.864,2
1268,0eYP6uVKRanxz52OW1MAPR,Animal,Troye Sivan,0.335,8.0,0.535,2
1270,2Pelm9xgLSC78mRk0jbOKb,Sila - Acoustic,SUD,0.751,9.0,0.743,2
1271,2PTQBDNpLnjix9Dsa33d8l,Tuloy Pa Rin,Nyoy Volante,0.8,7.0,0.721,2
1288,7u6DMPznGbpziuEgCE0JGQ,get well soon,Ariana Grande,0.604,9.0,0.657,2
1298,5cQB9fbuQCz4muQUFkv3rR,Serendipity (Full Length Edition),BTS,0.347,8.0,0.445,2
1314,7aW2GrNlteWTwQZxX6LNjT,"Kahit Maputi Na Ang Buhok ko - From ""The Hows Of Us""",Moira Dela Torre,0.264,7.0,0.535,2
1315,1Fo4OvzP9PThFKMeMIAEYu,Superhero,Lauv,0.681,7.0,0.82,2
1325,4bYqnqT92z9bi50a2tRsjj,How Deep Is Your Love,the bird and the bee,0.385,8.0,0.93,2
1333,4hIhoGN4UTZdNpHn5PbvoC,Rumors (with Sofia Carson),R3HAB,0.712,6.0,0.44,2
1339,0W2kzUI1K0tT0RpggJZ4Js,Kung Akin Ang Mundo,Moira Dela Torre,0.636,5.0,0.834,2
1341,3MBHhhVQiGLX28NolyIdY1,GTFO,Mariah Carey,0.69,6.0,0.522,2
1355,4jXiylt6Qg9gjAvlKIUZ95,Knots,Moira Dela Torre,0.657,7.0,0.576,2
1357,5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,0.631,7.0,0.447,2
1361,0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,LANY,0.559,11.0,0.701,2
1373,7tYjXd42SzEhrWEFQeZxNm,Simula Pa Nung Una,Patch Quiwa,0.571,11.0,0.885,2
1388,4dF0mDPTlpjThf1mJyK83B,tokyo,RM,0.447,5.0,0.828,2
1394,2GjxDcfAZjYhrxjz2t4qat,Love You Anymore,Michael Bublé,0.691,6.0,0.892,2
1398,5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw - Single Version,I Belong to the Zoo,0.523,7.0,0.395,2
1428,4YJUTdZ0Pgl0ZeNyHYXeLd,Love Of My Life - Remastered 2011,Queen,0.329,5.0,0.933,2
1429,3rheINeddqah49dElHlqbZ,Branches,Ben&Ben,0.475,9.0,0.471,2
1444,5kfNriitmkNE8mUbZ7gbq8,Saturday Nights,Khalid,0.551,10.0,0.606,2
1449,0AG2l0IboWNSwjUkMr2Aq7,Be My Mistake,The 1975,0.572,6.0,0.835,2
1453,72hucs56DifUiAItOhWEl9,Islands,Reese Lansangan,0.525,9.0,0.784,2
1461,267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,0.551,7.0,0.648,2
1471,2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,0.724,7.0,0.76,2
1474,4so0Wek9Ig1p6CRCHuINwW,White Christmas,Bing Crosby,0.317,9.0,0.673,2
1477,21gCZq4O38rQM60BW1TsvF,Tanging Hiling Ngayong Pasko,Kithara,0.352,6.0,0.874,2
1479,550rQQCGkrTzvp4SfpOPzx,Hallelujah,Pentatonix,0.322,7.0,0.454,2
1484,1IPrRFn01138TWwgwZQmnL,You Just Know It's Christmas,The Company,0.705,6.0,0.848,2
1487,2gbCG4Rt9984UZ7Tc0dIFd,White Christmas (with Shania Twain),Michael Bublé,0.628,10.0,0.469,2
1490,1VuAamHM7P3VQQEXYGG3Uu,Joy To The World,Nat King Cole,0.553,10.0,0.818,2
1492,4eqne0oIdt9GW2ubiliny0,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording",Judy Garland,0.273,6.0,0.961,2
1494,2pnPe4pJtq7689i5ydzvJJ,Run Rudolph Run - Single Version,Chuck Berry,0.681,7.0,0.812,2
1501,0lsRatBUs9HNIZAmoGABzk,Trampoline,SHAED,0.689,7.0,0.488,2
1514,1mTROTnvFi7uxGciL319Kb,Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version,December Avenue,0.605,11.0,0.828,2
1518,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,0.741,8.0,0.45,2
1525,7h4W9blGxYCkKJ3dxPZ84j,Dulo Ng Hangganan,IV Of Spades,0.565,9.0,0.494,2
1537,1XJ93XskwJf7PCyIVLbNBt,Anxiety (with Selena Gomez),Julia Michaels,0.803,7.0,0.573,2
1538,4NzMOnvSJVNKF7nw5NkXIP,bury a friend,Billie Eilish,0.905,8.0,0.74,2
1543,4SPu0Ql902hTVXkBoNIYtq,NASA,Ariana Grande,0.737,6.0,0.447,2
1544,1TEL6MlSSVLSdhOSddidlJ,needy,Ariana Grande,0.647,7.0,0.78,2
1548,4lD7gHKF1e8Y9stQuVezZB,ghostin,Ariana Grande,0.396,9.0,0.422,2
1559,4MmPXbZ5w141AoRUCjYfuF,"214 - Recorded at Kodama Studios, Philippines",Sarah Geronimo,0.337,10.0,0.904,2
1565,48Utf6gNBC9rewCPEvL5ja,Dati - Cover Version,Ben&Ben,0.617,7.0,0.414,2
1569,0I5Z0p0cLWdyJNC6sqMTwD,Spoliarium,Eraserheads,0.367,8.0,0.562,2
1573,4Bt8Ly7wwutPbX1dHXhuok,Rock with You,Paolo Sandejas,0.567,8.0,0.653,2
1577,2rSEuTXuRnGOHcU5JuoW13,"Beautiful Girl - Recorded at Kodama Studios, Philippines",Ben&Ben,0.246,5.0,0.903,2
1590,1DUSuNhF8P5vUGNPpQiZa5,My Bad,Khalid,0.645,5.0,0.543,2
