,track_id,track_name,artist_name,instrumentalness,key,speechiness,kmeans
0,0kN8xEmgMW9mh7UmDYHlJP,Versace on the Floor,Bruno Mars,0.0,2.0,0.0454,2
1,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,0.0,10.0,0.059,0
2,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,0.0,8.0,0.0338,3
3,2rizacJSyD9S1IQUxUxnsK,All We Know,The Chainsmokers,0.00272,0.0,0.0307,2
4,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,0.0,7.0,0.08,3
5,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,0.0,1.0,0.0797,2
6,1qOLh0tI7trd1zdDKxYZTe,Starving,Hailee Steinfeld,0.0,4.0,0.126,1
7,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go - From ""Moana""",Alessia Cara,0.000108,9.0,0.37,0
8,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,DJ Snake,1.02e-05,8.0,0.0576,3
9,5aAx2yezTd8zXrkmtKl66Z,Starboy,The Weeknd,3.49e-06,7.0,0.282,3
10,4izP2KMwrhAdZEtIyp8Z8w,Jumpshot,Dawin,0.0,6.0,0.0852,3
11,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.0,6.0,0.0432,3
12,5bZtRlMBU76vHuDOb1GM5u,Perfect Strangers,Jonas Blue,0.0,1.0,0.0463,2
13,1PSBzsahR2AKwLJgx8ehBj,Bad Things (with Camila Cabello),Machine Gun Kelly,0.0,2.0,0.146,2
14,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1.3e-05,0.0,0.0585,2
15,4b4KcovePX8Ke2cLIQTLM0,All Night,The Vamps,0.0,8.0,0.0363,3
16,04DwTuZ2VBdJCCC5TROn7L,In the Name of Love,Martin Garrix,0.0,4.0,0.0406,1
17,4pLwZjInHj3SimIyN9SnOz,Side To Side,Ariana Grande,0.0,6.0,0.247,3
18,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,0.000611,0.0,0.0362,2
19,4nMlau89VAjmV7agkl7OY3,Fresh Eyes,Andy Grammer,2.4e-05,0.0,0.0332,2
20,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,0.0,6.0,0.0331,3
21,4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,0.0,10.0,0.246,0
22,4OZEu0Vwq0RB2LAq14v99n,Middle,DJ Snake,0.0,9.0,0.0436,0
23,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.0,9.0,0.0523,0
24,2IMODbij0lZ5CuAjZi0IDE,Sila,SUD,0.0,9.0,0.0457,0
25,68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.0,1.0,0.134,2
26,3EmmCZoqpWOTY1g2GBwJoR,Just Hold On,Steve Aoki,1.5e-06,11.0,0.0824,0
27,0B8B8cVRFIG1yznoQe7c9s,Setting Fires,The Chainsmokers,0.0,8.0,0.0375,3
28,0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down (feat. Daya),The Chainsmokers,0.00466,11.0,0.197,0
29,0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,Little Mix,5.95e-06,0.0,0.0952,2
30,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,0.0,6.0,0.3,3
31,6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.0,0.0,0.0751,2
32,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,0.0,0.0,0.0649,2
33,1cOyWWUr3oXJIxY0AjJEx9,YOUTH,Troye Sivan,0.0,7.0,0.041,3
34,343YBumqHu19cGoGARUTsd,Fake Love,Drake,0.0,9.0,0.287,0
35,4TZy1wLyHec06pwgFYDh1a,Mercy,Shawn Mendes,0.0,11.0,0.117,0
36,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,Alessia Cara,0.0,0.0,0.129,2
37,2DpCdPMg1BADE4HDnxt3Rd,"Sit Still, Look Pretty",Daya,3.11e-06,2.0,0.264,2
38,1lItf5ZXJc1by9SbPeljFd,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,0.0,1.0,0.275,2
39,0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,Silent Sanctuary,0.0,11.0,0.031,0
40,2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.0,10.0,0.22,0
41,4QdovcM8j50QPlyR7tH4xe,You & Me,Marc E. Bassy,0.0,1.0,0.192,2
42,2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),Mike Perry,1.81e-06,5.0,0.029,1
43,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,0.0,0.0,0.118,2
44,1CnPYaKxTVb4LWOtiGOm0m,All Time Low,Jon Bellion,0.0,0.0,0.0828,2
45,6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,0.0296,6.0,0.0369,3
46,40UroIGvsMPLPBYwH8rMNA,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1.12e-05,9.0,0.0814,0
47,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,0.00423,1.0,0.0532,2
